,Name,Size,Brand,Sale_Price,Condition,Link
0,LULULEMON ACRO CROP HEATHERED BLACK,6,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-ACRO-CROPHEATHERED-BLACK-60A6D68618013672EA6B57C6
1,LULULEMON STOP AT NOTHING AQUAMARINE CROP LEGGINGS,8,LULULEMON ATHLETICA,35,N/A,https://poshmark.com/LISTING/LULULEMON-STOP-AT-NOTHING-AQUAMARINE-CROP-LEGGINGS-6118859681A36CC3225B10FB
2,LULULEMON CAPRI WIDE LEG LEGGINGS,6,LULULEMON ATHLETICA,25,N/A,https://poshmark.com/LISTING/LULULEMON-CAPRI-WIDE-LEG-LEGGINGS-615A16D909D760BBC9E8178D
3,🍋LULULEMON ASTRO PANT (REGULAR) *FULL-ON LUON,8,LULULEMON ATHLETICA,55,N/A,https://poshmark.com/LISTING/LULULEMON-ASTRO-PANT-REGULAR-FULLON-LUON-616AC435C936AFAA7FD98117
4,LULULEMON ALIGN LEGGING,8,LULULEMON ATHLETICA,95,N/A,https://poshmark.com/LISTING/LULULEMON-ALIGN-LEGGING-610C6DC093649F7C78052738
5,LULULEMON ACRO CROPS SILICONE LOGO PEACOCK FEATHER,4,LULULEMON ATHLETICA,100,N/A,https://poshmark.com/LISTING/LULULEMON-ACRO-CROPS-SILICONE-LOGO-PEACOCK-FEATHER-6164DA98545A799CC7CF5036
6,LULULEMON SPEED TIGHT III - WATERCOLOR LEGGINGS,4,LULULEMON ATHLETICA,89,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-TIGHT-III-WATERCOLOR-LEGGINGS-6170DC69FADBA477F5693BFF
7,LULULEMON WUNDER UNDER HI-RISE TIGHT * 28,2,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-HIRISE-TIGHT-28-60883332C693BDFDBD84ADC6
8,LULULEMON YOGA PANTS 6,6,LULULEMON ATHLETICA,36,N/A,https://poshmark.com/LISTING/LULULEMON-YOGA-PANTS-6-5FF52F0C463D4F31216506A4
9,LULULEMON SPEED UP MR TIGHT 28” LW5BUVS METROPOLIS GLOW MULTI WOMENS SIZE 6,6,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-UP-MR-TIGHT-28-LW5BUVS-METROPOLIS-GLOW-MULTI-WOMENS-SIZE-6-614F331AD1BB42EC2E8D4CD8
10,LULULEMON | GRAY CEREMONY JOGGER SWEATPANTS,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-GRAY-CEREMONY-JOGGER-SWEATPANTS-613BC97EBCDB2F27FE2D894A
11,LULULEMON SIZE 8 HEATHER BLACK BELT IT OUT CROP PANTS,8,LULULEMON ATHLETICA,34,N/A,https://poshmark.com/LISTING/LULULEMON-SIZE-8-HEATHER-BLACK-BELT-IT-OUT-CROP-PANTS-6152B0EEB9190EC4D2A05F72
12,"LULULEMON FAST & FREE CROP (19"")",2,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-FAST-FREE-CROP-19-60F3257E7F80D23341C18700
13,LULULEMON WUNDER UNDER CROP *REVERSIBLE,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-REVERSIBLE-6067855C800F64DF9B0938A6
14,"LULULEMON ALIGN™ PANT 25"" CLARET",N/A,LULULEMON ATHLETICA,86,NWT,https://poshmark.com/LISTING/LULULEMON-ALIGN-PANT-25-CLARET-615832A313F1B6E78C84C5F1
15,LULULEMON HEAT THE STREET'S BORDEAUX DRAMA,4,LULULEMON ATHLETICA,55,N/A,https://poshmark.com/LISTING/LULULEMON-HEAT-THE-STREETS-BORDEAUX-DRAMA-6123F5ACCE1E871F7619C0AD
16,"LULULEMON SEEK THE HEAT CROP BLACK, SIZE 4",4,LULULEMON ATHLETICA,98,N/A,https://poshmark.com/LISTING/LULULEMON-SEEK-THE-HEAT-CROP-BLACK-SIZE-4-60C3D94060FDEDD3A962E307
17,LULULEMON CARRY AND GO PANT II HEATHERED BLACK,4,LULULEMON ATHLETICA,64,N/A,https://poshmark.com/LISTING/LULULEMON-CARRY-AND-GO-PANT-II-HEATHERED-BLACK-616B52CC8AE37CAC27E81859
18,LULULEMON SPEED TIGHT IV *RULU,4,LULULEMON ATHLETICA,60,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-TIGHT-IV-RULU-60D7704109D7608A26D5CD05
19,LULULEMON NEXT MOVE CROP,8,LULULEMON ATHLETICA,68,N/A,https://poshmark.com/LISTING/LULULEMON-NEXT-MOVE-CROP-60E082E8CB23AA75C91442A4
20,LULULEMON WATER BOUND CROP BLACK PEACH 8,8,LULULEMON ATHLETICA,39,N/A,https://poshmark.com/LISTING/LULULEMON-WATER-BOUND-CROP-BLACK-PEACH-8-617472C88E86608A3A253F8F
21,LULULEMON WUNDER UNDER CROP - BLACK,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-BLACK-606783B67F80D2FBC342F780
